feature_set,model,split,n_samples,run_count,subset,mae,rmse,wape,mae_h5,rmse_h5,wape_h5,mae_h10,rmse_h10,wape_h10,mae_h15,rmse_h15,wape_h15,note
with_control,ha_baseline,test,4,1,overall,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
with_control,ha_baseline,test,4,1,non_incident,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
with_control,xgboost,test,4,1,overall,1.0785831212997437,2.5191047191619873,0.4981687366962433,1.031372308731079,2.4159536361694336,0.48046717047691345,1.0523954629898071,2.4527342319488525,0.48754215240478516,1.0785831212997437,2.5191047191619873,0.4981687366962433,P4 movement-level control-feature closed-loop pipeline
with_control,xgboost,test,4,1,non_incident,1.0785831212997437,2.5191047191619873,0.4981687366962433,1.031372308731079,2.4159536361694336,0.48046717047691345,1.0523954629898071,2.4527342319488525,0.48754215240478516,1.0785831212997437,2.5191047191619873,0.4981687366962433,P4 movement-level control-feature closed-loop pipeline
with_control,lstm,test,4,1,overall,1.0679796934127808,2.2290539741516113,0.49327126145362854,1.0290422439575195,2.132096767425537,0.4793817102909088,1.047819972038269,2.17057466506958,0.4854224622249603,1.0679796934127808,2.2290539741516113,0.49327126145362854,P4 movement-level control-feature closed-loop pipeline
with_control,lstm,test,4,1,non_incident,1.0679796934127808,2.2290539741516113,0.49327126145362854,1.0290422439575195,2.132096767425537,0.4793817102909088,1.047819972038269,2.17057466506958,0.4854224622249603,1.0679796934127808,2.2290539741516113,0.49327126145362854,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,4,1,overall,1.0738544464111328,2.457641839981079,0.49598467350006104,1.0124951601028442,2.3100814819335938,0.4716731905937195,1.0495754480361938,2.3931119441986084,0.48623570799827576,1.0738544464111328,2.457641839981079,0.49598467350006104,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,4,1,non_incident,1.0738544464111328,2.457641839981079,0.49598467350006104,1.0124951601028442,2.3100814819335938,0.4716731905937195,1.0495754480361938,2.3931119441986084,0.48623570799827576,1.0738544464111328,2.457641839981079,0.49598467350006104,P4 movement-level control-feature closed-loop pipeline
without_control,ha_baseline,test,4,1,overall,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
without_control,ha_baseline,test,4,1,non_incident,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
without_control,xgboost,test,4,1,overall,1.1208021640777588,2.570261240005493,0.5176685452461243,1.070326805114746,2.4793968200683594,0.49861422181129456,1.0970113277435303,2.5136849880218506,0.5082113146781921,1.1208021640777588,2.570261240005493,0.5176685452461243,P4 movement-level control-feature closed-loop pipeline
without_control,xgboost,test,4,1,non_incident,1.1208021640777588,2.570261240005493,0.5176685452461243,1.070326805114746,2.4793968200683594,0.49861422181129456,1.0970113277435303,2.5136849880218506,0.5082113146781921,1.1208021640777588,2.570261240005493,0.5176685452461243,P4 movement-level control-feature closed-loop pipeline
without_control,lstm,test,4,1,overall,1.0864732265472412,2.233424663543701,0.5018129348754883,1.0465288162231445,2.111586093902588,0.4875278174877167,1.0644150972366333,2.1638104915618896,0.4931104779243469,1.0864732265472412,2.233424663543701,0.5018129348754883,P4 movement-level control-feature closed-loop pipeline
without_control,lstm,test,4,1,non_incident,1.0864732265472412,2.233424663543701,0.5018129348754883,1.0465288162231445,2.111586093902588,0.4875278174877167,1.0644150972366333,2.1638104915618896,0.4931104779243469,1.0864732265472412,2.233424663543701,0.5018129348754883,P4 movement-level control-feature closed-loop pipeline
without_control,transformer_v1,test,4,1,overall,1.0470556020736694,2.249018430709839,0.4836069643497467,0.9997565150260925,2.1220762729644775,0.46573886275291443,1.0218974351882935,2.181412696838379,0.473413348197937,1.0470556020736694,2.249018430709839,0.4836069643497467,P4 movement-level control-feature closed-loop pipeline
without_control,transformer_v1,test,4,1,non_incident,1.0470556020736694,2.249018430709839,0.4836069643497467,0.9997565150260925,2.1220762729644775,0.46573886275291443,1.0218974351882935,2.181412696838379,0.473413348197937,1.0470556020736694,2.249018430709839,0.4836069643497467,P4 movement-level control-feature closed-loop pipeline
