feature_set,model,split,n_samples,run_count,subset,mae,rmse,wape,mae_h5,rmse_h5,wape_h5,mae_h10,rmse_h10,wape_h10,mae_h15,rmse_h15,wape_h15,note
with_control,ha_baseline,test,306,9,overall,1.2880433797836304,2.489130735397339,0.49016374349594116,1.1569349765777588,2.2526652812957764,0.44277524948120117,1.232046365737915,2.388773202896118,0.47004637122154236,1.2880433797836304,2.489130735397339,0.49016374349594116,P4 movement-level control-feature closed-loop pipeline
with_control,ha_baseline,test,237,9,non_incident,1.2438808679580688,2.4427638053894043,0.48019465804100037,1.1241581439971924,2.221709728240967,0.4365200996398926,1.1932368278503418,2.349353313446045,0.4618622064590454,1.2438808679580688,2.4427638053894043,0.48019465804100037,P4 movement-level control-feature closed-loop pipeline
with_control,ha_baseline,test,69,3,incident,1.4397313594818115,2.6422009468078613,0.5223440527915955,1.2695156335830688,2.355895757675171,0.4629518985748291,1.3653475046157837,2.519479751586914,0.4964529573917389,1.4397313594818115,2.6422009468078613,0.5223440527915955,P4 movement-level control-feature closed-loop pipeline
with_control,ha_baseline,test,204,6,control_perturbation,1.2117843627929688,2.4064252376556396,0.4742504358291626,1.0939531326293945,2.188610315322876,0.4307647943496704,1.1611599922180176,2.3135831356048584,0.455777645111084,1.2117843627929688,2.4064252376556396,0.4742504358291626,P4 movement-level control-feature closed-loop pipeline
with_control,xgboost,test,0,0,overall,,,,,,,,,,,,,failed: [06:54:15] C:\actions-runner\_work\xgboost\xgboost\src\common\io.h:362: bad_malloc: Failed to allocate 12302672 bytes.
with_control,lstm,test,306,9,overall,0.9757468700408936,1.9299098253250122,0.37131959199905396,0.9687841534614563,1.9095362424850464,0.3707672953605652,0.9755976796150208,1.924361228942871,0.3722068965435028,0.9757468700408936,1.9299098253250122,0.37131959199905396,P4 movement-level control-feature closed-loop pipeline
with_control,lstm,test,237,9,non_incident,1.0195707082748413,2.0019421577453613,0.3936006724834442,1.0165202617645264,1.9881200790405273,0.39472344517707825,1.0214260816574097,1.999817967414856,0.39535999298095703,1.0195707082748413,2.0019421577453613,0.3936006724834442,P4 movement-level control-feature closed-loop pipeline
with_control,lstm,test,69,3,incident,0.8252217769622803,1.6588404178619385,0.29939591884613037,0.8048207759857178,1.6106767654418945,0.29349249601364136,0.8181856274604797,1.6389340162277222,0.2974998652935028,0.8252217769622803,1.6588404178619385,0.29939591884613037,P4 movement-level control-feature closed-loop pipeline
with_control,lstm,test,204,6,control_perturbation,1.0455827713012695,2.041257381439209,0.40920490026474,1.036861538887024,2.0181312561035156,0.40828391909599304,1.0461525917053223,2.0360934734344482,0.4106350541114807,1.0455827713012695,2.041257381439209,0.40920490026474,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,306,9,overall,0.9262999892234802,1.8499623537063599,0.35250261425971985,0.9239072203636169,1.8375979661941528,0.35359227657318115,0.925830602645874,1.8444567918777466,0.3532199263572693,0.9262999892234802,1.8499623537063599,0.35250261425971985,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,237,9,non_incident,0.9571873545646667,1.906001329421997,0.36951789259910583,0.9596772193908691,1.902710199356079,0.37265080213546753,0.958667516708374,1.904371976852417,0.37106823921203613,0.9571873545646667,1.906001329421997,0.36951789259910583,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,69,3,incident,0.8202078938484192,1.6429857015609741,0.2975768446922302,0.8010446429252625,1.5938206911087036,0.2921154499053955,0.8130440711975098,1.6218901872634888,0.2956303358078003,0.8202078938484192,1.6429857015609741,0.2975768446922302,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,204,6,control_perturbation,0.9777336120605469,1.9375358819961548,0.38265106081962585,0.9755479693412781,1.9261692762374878,0.3841405212879181,0.9778155088424683,1.9326585531234741,0.38381144404411316,0.9777336120605469,1.9375358819961548,0.38265106081962585,P4 movement-level control-feature closed-loop pipeline
without_control,ha_baseline,test,306,9,overall,1.2880433797836304,2.489130735397339,0.49016374349594116,1.1569349765777588,2.2526652812957764,0.44277524948120117,1.232046365737915,2.388773202896118,0.47004637122154236,1.2880433797836304,2.489130735397339,0.49016374349594116,P4 movement-level control-feature closed-loop pipeline
